norme,fichier,reference,edition,statut,params_transcrits,params_inventories_non_transcrits,params_confirmes,params_a_confirmer,clauses_non_analysees,valeurs_d_attente,params_formule
EN 1996-1-2,non trace,NBN EN 1996-1-2 ANB,2019,acquired_for_reading,0,inventaire non etabli,0,,,,
EN 1996-2,NBN_EN_1996-2_ANB_2010(F).pdf,NBN EN 1996-2 ANB,"1e éd., novembre 2010",acquired_for_reading,0,inventaire non etabli,0,,,,
EN 1996-3,NBN_EN_1996-3_ANB_2012(F).pdf,NBN EN 1996-3 ANB,"1e éd., février 2012",acquired_for_reading,0,inventaire non etabli,0,,,,
EN 1997-1,non trace,NBN EN 1997-1 ANB,2022,acquired_for_reading,0,inventaire non etabli,0,,,,
EN 1997-2,NBN_EN_1997-2_ANB_2013(F).pdf,NBN EN 1997-2 ANB,"1e éd., avril 2013",acquired_for_reading,0,inventaire non etabli,0,,,,
EN 1998-1,NBN_EN_1998-1_ANB_2011(F).pdf,NBN EN 1998-1 ANB,"1e éd., octobre 2011",acquired_for_reading,0,inventaire non etabli,0,,,,
EN 1998-2,NBN_EN_1998-2_ANB_2012(F).pdf,NBN EN 1998-2 ANB,"1e éd., janvier 2013",acquired_for_reading,0,inventaire non etabli,0,,,,
EN 1998-3,NBN_EN_1998-3_ANB_2011(F).pdf,NBN EN 1998-3 ANB,"1e éd., octobre 2011",acquired_for_reading,0,inventaire non etabli,0,,,,
EN 1998-4,non trace,NBN EN 1998-4 ANB,"1e éd., octobre 2011",acquired_for_reading,0,inventaire non etabli,0,,,,
EN 1998-5,NBN_EN_1998-5_ANB_2011(F).pdf,NBN EN 1998-5 ANB,"1e éd., octobre 2011",acquired_for_reading,0,inventaire non etabli,0,,,,
EN 1998-6,NBN_EN_1998-6_ANB_2011(F).pdf,NBN EN 1998-6 ANB,"1e éd., octobre 2011",acquired_for_reading,0,inventaire non etabli,0,,,,
EN 1999-1-1,NBN_EN_1999-1-1_ANB_2011(F).pdf,NBN EN 1999-1-1 ANB,"1e éd., mars 2011",acquired_for_reading,0,inventaire non etabli,0,,,,
EN 1999-1-2,NBN_EN_1999-1-2_ANB_2011(F).pdf,NBN EN 1999-1-2 ANB,"1e éd., mars 2011",acquired_for_reading,0,inventaire non etabli,0,,,,
EN 1999-1-3,NBN_EN_1999-1-3_ANB_2011(F).pdf,NBN EN 1999-1-3 ANB,"1e éd., mars 2011",acquired_for_reading,0,inventaire non etabli,0,,,,
EN 1999-1-4,NBN_EN_1999-1-4_ANB_2011(F).pdf,NBN EN 1999-1-4 ANB,"1e éd., mars 2011",acquired_for_reading,0,inventaire non etabli,0,,,,
EN 1999-1-5,NBN_EN_1999-1-5_ANB_2011(F).pdf,NBN EN 1999-1-5 ANB,"1e éd., mars 2011",acquired_for_reading,0,inventaire non etabli,0,,,,
